time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.67328504914e-08,2.51827153752e-07,10.0024104001,0.000251198063039,6.2831132013,0.0,5.01624545568e-06,2.19264648403e-05,0.0803437215426,0.0114649550373,-0.00372086389412,0.0,430.841940197116,430.52731884469995,430.06702754165667,431.0367757097956
0.12000000000000001,2.60445005311e-06,9.79645528667e-06,10.0101532048,0.000400135484895,6.28297979614,0.0,9.82037763694e-05,0.000352889214278,0.17773886881,-0.0294000942773,0.000615008943402,0.0,435.2107046991106,435.5734426689747,438.479286148274,435.0717905582944
0.18,1.15530417181e-05,3.22256420547e-05,10.0208267199,6.2817472742,0.000277945044317,0.0,0.00017469157169,0.000237720317635,0.178044889081,-0.033229990656,0.0198574823971,0.0,403.0957411420327,404.83052673270726,404.3525003421941,404.0069712563258
0.23999999999999996,1.19094553079e-05,9.54027188904e-06,10.0342621381,6.27943627412,0.00139060599098,0.0,-0.000279055720842,-0.00120783319969,0.269783972523,-0.0520330298678,0.015779715978,0.0,434.89690034502274,434.55522682737893,434.6958690855865,433.11675532137224
0.3,-3.91313159724e-05,-0.000157614673733,10.0547557185,6.27662564443,0.00212258632359,0.0,-0.00151455935655,-0.00468376661088,0.413292065037,-0.038088826324,0.00385461472269,0.0,450.63300881341473,449.6680624250202,450.471845294478,451.5964946531227
0.36000000000000004,-0.000179063667396,-0.000596031598096,10.0844419547,6.27439647182,0.00186709967236,0.0,-0.00315904296573,-0.0101808647554,0.576178735762,-0.0353441876627,-0.030080856903,0.0,458.23080492945644,455.52560210033704,456.26690289657336,456.4853304069276
0.4200000000000001,-0.000397831033295,-0.00138044112436,10.120420153,6.27333824831,6.28286527341,0.0,-0.00394971443458,-0.0161030675066,0.623068720273,0.0045268333419,-0.0539313757258,0.0,422.88036179161946,420.8203421494598,416.5550316360967,420.02649305809933
0.48000000000000015,-0.000614988653189,-0.00255754940917,10.1616667403,6.27347147369,6.2792858895,0.0,-0.00293068354733,-0.0231111613122,0.751740884731,-0.00284571455516,-0.0746918639538,0.0,447.0624391321865,445.36524023462624,446.758307821693,446.1568243898823
0.5400000000000001,-0.000677901896917,-0.00417598375355,10.2129699518,6.27382364088,6.27456098618,0.0,0.00137313175875,-0.0308197385033,0.958212959195,0.0192368676687,-0.0884282482564,0.0,471.06556614173434,469.99762419396194,468.7802604385246,470.49278095271694
0.6000000000000002,-0.000362487829107,-0.00624848297209,10.2772016983,6.27472004877,6.27006897884,0.0,0.00971829325185,-0.038136068769,1.18263538835,0.00454924217427,-0.0563381034009,0.0,474.80412834945975,477.25498090095783,475.9299052666564,474.80444427027027
0.6600000000000003,0.00053310274542,-0.00872797398449,10.3532404765,6.27504947751,6.2667022695,0.0,0.0205108197749,-0.0444782199112,1.35180046969,0.00730954345031,-0.0556632382496,0.0,459.565440084234,459.6168965405643,459.7868330683708,460.00534753458317
0.7200000000000003,0.00207342729094,-0.0115421581878,10.434791672,6.27585145354,6.26311658043,0.0,0.0311411054605,-0.0492704581384,1.36654989378,0.0233384087597,-0.0695640811842,0.0,410.36141813909677,409.12279156869903,411.27294595373667,412.6899794302512
0.7800000000000004,0.0043487211957,-0.0146365622677,10.5186474644,6.27687306151,6.25904228069,0.0,0.0450977086161,-0.0537546798005,1.42855946465,-0.000221069312501,-0.0647792598037,0.0,426.30718535005497,426.7121122630498,427.71215268631636,425.70109150704366
0.8400000000000004,0.00766535885726,-0.0180171248035,10.6112647214,6.27671197636,6.25476114111,0.0,0.0659379721562,-0.0589387262794,1.6583646365,-0.00813433065003,-0.0896395665837,0.0,478.88738134286257,476.9890167335875,479.08346685888125,478.4815212192408
0.9000000000000005,0.012263803197,-0.0216967678183,10.7149340257,6.27581749707,6.24950045821,0.0,0.0879100097036,-0.0637830315785,1.7970520945,-0.0340520811282,-0.0840206913744,0.0,452.3013821887429,452.7474042306064,452.09755812297294,450.00464445314753
0.9600000000000005,0.0182645792938,-0.0256863552614,10.8260670089,6.27349511981,6.24441125829,0.0,0.112633675239,-0.069425331799,1.90718106976,-0.0501793084634,-0.086467417653,0.0,444.0631360415039,443.8564808315212,443.50516019330837,442.1778635040346
1.0200000000000005,0.0258177529486,-0.0300570435274,10.9428420542,6.27031486252,6.23924170995,0.0,0.139644525675,-0.0765676052483,1.98516149953,-0.0593532424882,-0.0855500095742,0.0,433.55537639671047,433.6261176235046,434.06182976091696,433.2893590340207
1.0800000000000005,0.0353278554204,-0.0349922961007,11.0694953937,6.26654454428,6.23457891876,0.0,0.177942570012,-0.0883884978811,2.23612210716,-0.0709209394096,-0.0654233378088,0.0,486.19176211804927,487.6928789744146,486.2243968730077,485.3545122200604
1.1400000000000006,0.0476170562714,-0.0408650653547,11.2186654637,6.26217624965,6.23056769666,0.0,0.232283071242,-0.108044948529,2.73510811811,-0.076865159559,-0.0698783792761,0.0,554.4870349434613,554.1919310563477,553.5066463810813,553.1123582716143
1.2000000000000006,0.062700602354,-0.0478171393729,11.3865754672,6.25718026127,6.22669575709,0.0,0.270909443221,-0.124187001962,2.86154232597,-0.100854069227,-0.0555546189903,0.0,451.36781844348957,452.51924489165555,454.428906491098,452.4960884551319
1.2600000000000007,0.0802004277834,-0.0558598687236,11.5624067645,6.25107649082,6.22393151506,0.0,0.31271924131,-0.144547078146,2.99910410869,-0.103539003202,-0.0318074782584,0.0,455.9316089715458,457.8236105914278,456.9537847493455,456.73103744483
